balls,strikes,game_year,batter,pitch_number,at_bat_number,home_score,away_score,on_3b,on_2b,on_1b,outs_when_up,if_fielding_alignment_Infield shift,if_fielding_alignment_Standard,if_fielding_alignment_Strategic,of_fielding_alignment_Extreme outfield shift,of_fielding_alignment_Standard,of_fielding_alignment_Strategic,pitch_bin
0,0,2008,429720,1,22,2,3,0.0,0.0,0.0,0,0,0,0,0,0,0,1
0,1,2008,452783,2,18,2,3,0.0,0.0,0.0,2,0,0,0,0,0,0,1
0,0,2008,452783,1,18,2,3,0.0,0.0,0.0,2,0,0,0,0,0,0,0
0,1,2008,113232,2,17,2,3,0.0,0.0,0.0,1,0,0,0,0,0,0,1
0,0,2008,408314,1,23,2,3,0.0,0.0,0.0,1,0,0,0,0,0,0,1
0,0,2008,113232,1,17,2,3,0.0,0.0,0.0,1,0,0,0,0,0,0,0
2,0,2008,135783,3,16,2,3,0.0,0.0,0.0,0,0,0,0,0,0,0,1
3,1,2008,455104,5,26,0,2,0.0,0.0,425548.0,0,0,0,0,0,0,0,1
0,0,2008,425557,1,27,0,2,0.0,425548.0,455104.0,0,0,0,0,0,0,0,1
1,1,2008,455104,3,26,0,2,0.0,0.0,425548.0,0,0,0,0,0,0,0,0
2,2,2008,430838,7,13,0,2,0.0,0.0,0.0,2,0,0,0,0,0,0,0
0,1,2008,455104,2,26,0,2,0.0,0.0,425548.0,0,0,0,0,0,0,0,1
2,1,2008,455104,4,26,0,2,0.0,0.0,425548.0,0,0,0,0,0,0,0,1
2,2,2008,115732,5,20,0,2,0.0,0.0,448676.0,1,0,0,0,0,0,0,1
0,1,2008,448676,2,19,0,2,0.0,0.0,0.0,1,0,0,0,0,0,0,1
2,0,2008,115732,3,20,0,2,0.0,0.0,448676.0,1,0,0,0,0,0,0,1
1,0,2008,115732,2,20,0,2,0.0,0.0,448676.0,1,0,0,0,0,0,0,0
0,0,2008,115732,1,20,0,2,0.0,0.0,448676.0,1,0,0,0,0,0,0,1
3,2,2008,448676,7,19,0,2,0.0,0.0,0.0,1,0,0,0,0,0,0,1
3,2,2008,448676,6,19,0,2,0.0,0.0,0.0,1,0,0,0,0,0,0,1
3,1,2008,448676,5,19,0,2,0.0,0.0,0.0,1,0,0,0,0,0,0,1
2,1,2008,448676,4,19,0,2,0.0,0.0,0.0,1,0,0,0,0,0,0,1
0,0,2008,448676,1,19,0,2,0.0,0.0,0.0,1,0,0,0,0,0,0,0
1,1,2008,425557,3,27,0,2,0.0,425548.0,455104.0,0,0,0,0,0,0,0,0
0,1,2008,425557,2,27,0,2,0.0,425548.0,455104.0,0,0,0,0,0,0,0,1
1,1,2008,448676,3,19,0,2,0.0,0.0,0.0,1,0,0,0,0,0,0,0
0,2,2008,115732,3,36,0,2,0.0,430838.0,448676.0,2,0,0,0,0,0,0,1
3,1,2008,448676,5,35,0,2,0.0,0.0,430838.0,2,0,0,0,0,0,0,1
0,1,2008,468406,2,18,0,2,0.0,0.0,0.0,0,0,0,0,0,0,0,0
2,1,2008,115732,4,20,0,2,0.0,0.0,448676.0,1,0,0,0,0,0,0,1
0,0,2008,115732,1,36,0,2,0.0,430838.0,448676.0,2,0,0,0,0,0,0,1
1,0,2008,448676,2,35,0,2,0.0,0.0,430838.0,2,0,0,0,0,0,0,0
2,0,2008,448676,3,35,0,2,0.0,0.0,430838.0,2,0,0,0,0,0,0,1
3,0,2008,448676,4,35,0,2,0.0,0.0,430838.0,2,0,0,0,0,0,0,1
1,0,2008,435560,2,28,0,2,0.0,425548.0,455104.0,1,0,0,0,0,0,0,1
0,2,2008,115732,4,36,0,2,0.0,430838.0,448676.0,2,0,0,0,0,0,0,0
1,2,2008,115732,5,36,0,2,0.0,430838.0,448676.0,2,0,0,0,0,0,0,1
0,0,2008,448676,1,35,0,2,0.0,0.0,430838.0,2,0,0,0,0,0,0,1
1,2,2008,115732,6,36,0,2,0.0,430838.0,448676.0,2,0,0,0,0,0,0,0
0,0,2008,435560,1,28,0,2,0.0,425548.0,455104.0,1,0,0,0,0,0,0,1
0,0,2008,430838,1,33,0,2,0.0,0.0,0.0,1,0,0,0,0,0,0,1
2,1,2008,468406,4,34,0,2,0.0,0.0,430838.0,1,0,0,0,0,0,0,1
1,1,2008,468406,3,34,0,2,0.0,0.0,430838.0,1,0,0,0,0,0,0,1
1,0,2008,468406,2,34,0,2,0.0,0.0,430838.0,1,0,0,0,0,0,0,1
0,0,2008,468406,1,34,0,2,0.0,0.0,430838.0,1,0,0,0,0,0,0,1
1,2,2008,346871,5,32,0,2,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1,2,2008,346871,4,32,0,2,0.0,0.0,0.0,0,0,0,0,0,0,0,1
0,2,2008,346871,3,32,0,2,0.0,0.0,0.0,0,0,0,0,0,0,0,1
0,1,2008,346871,2,32,0,2,0.0,0.0,0.0,0,0,0,0,0,0,0,1
1,1,2008,435560,3,28,0,2,0.0,425548.0,455104.0,1,0,0,0,0,0,0,1
3,1,2008,468406,5,34,0,2,0.0,0.0,430838.0,1,0,0,0,0,0,0,1
0,0,2008,468406,1,18,0,2,0.0,0.0,0.0,0,0,0,0,0,0,0,1
0,0,2008,455104,1,26,0,2,0.0,0.0,425548.0,0,0,0,0,0,0,0,0
0,0,2008,346871,1,32,0,2,0.0,0.0,0.0,0,0,0,0,0,0,0,1
0,1,2008,115732,2,36,0,2,0.0,430838.0,448676.0,2,0,0,0,0,0,0,0
3,2,2008,430838,8,13,0,2,0.0,0.0,0.0,2,0,0,0,0,0,0,1
2,2,2008,430838,6,13,0,2,0.0,0.0,0.0,2,0,0,0,0,0,0,1
0,2,2008,430838,3,13,0,2,0.0,0.0,0.0,2,0,0,0,0,0,0,1
0,1,2008,430838,2,13,0,2,0.0,0.0,0.0,2,0,0,0,0,0,0,0
0,0,2008,430838,1,13,0,2,0.0,0.0,0.0,2,0,0,0,0,0,0,1
2,2,2008,346871,5,12,0,2,0.0,0.0,0.0,1,0,0,0,0,0,0,1
1,2,2008,346871,4,12,0,2,0.0,0.0,0.0,1,0,0,0,0,0,0,1
1,1,2008,346871,3,12,0,2,0.0,0.0,0.0,1,0,0,0,0,0,0,1
1,0,2008,346871,2,12,0,2,0.0,0.0,0.0,1,0,0,0,0,0,0,1
0,0,2008,346871,1,12,0,2,0.0,0.0,0.0,1,0,0,0,0,0,0,1
1,2,2008,435560,4,11,0,2,0.0,0.0,0.0,0,0,0,0,0,0,0,1
2,2,2008,430838,5,13,0,2,0.0,0.0,0.0,2,0,0,0,0,0,0,1
0,1,2008,435560,2,11,0,2,0.0,0.0,0.0,0,0,0,0,0,0,0,1
1,2,2008,430838,4,13,0,2,0.0,0.0,0.0,2,0,0,0,0,0,0,1
0,0,2008,435560,1,11,0,2,0.0,0.0,0.0,0,0,0,0,0,0,0,1
1,1,2008,435560,3,11,0,2,0.0,0.0,0.0,0,0,0,0,0,0,0,1
1,2,2008,425867,4,27,1,1,114789.0,0.0,408236.0,2,0,0,0,0,0,0,1
0,0,2008,136664,1,33,1,1,0.0,0.0,0.0,1,0,0,0,0,0,0,1
0,2,2008,118120,5,34,1,1,0.0,0.0,0.0,2,0,0,0,0,0,0,1
0,0,2008,408311,1,32,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0
0,2,2008,118120,4,34,1,1,0.0,0.0,0.0,2,0,0,0,0,0,0,0
0,2,2008,118120,3,34,1,1,0.0,0.0,0.0,2,0,0,0,0,0,0,1
2,2,2008,452989,5,23,0,1,0.0,0.0,0.0,1,0,0,0,0,0,0,1
0,0,2008,118120,1,34,1,1,0.0,0.0,0.0,2,0,0,0,0,0,0,1
1,2,2008,118120,6,34,1,1,0.0,0.0,0.0,2,0,0,0,0,0,0,0
2,2,2008,450260,5,26,1,1,114789.0,0.0,408236.0,1,0,0,0,0,0,0,1
3,2,2008,450260,6,26,1,1,114789.0,0.0,408236.0,1,0,0,0,0,0,0,1
0,2,2008,425867,3,27,1,1,114789.0,0.0,408236.0,2,0,0,0,0,0,0,0
0,1,2008,425867,2,27,1,1,114789.0,0.0,408236.0,2,0,0,0,0,0,0,1
0,0,2008,425867,1,27,1,1,114789.0,0.0,408236.0,2,0,0,0,0,0,0,1
1,2,2008,450260,4,26,1,1,114789.0,0.0,408236.0,1,0,0,0,0,0,0,1
1,1,2008,450260,3,26,1,1,114789.0,0.0,408236.0,1,0,0,0,0,0,0,1
1,0,2008,450260,2,26,1,1,114789.0,0.0,408236.0,1,0,0,0,0,0,0,1
0,0,2008,430668,1,40,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,1
0,1,2008,430668,2,40,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0
0,0,2008,450260,1,26,1,1,114789.0,0.0,408236.0,1,0,0,0,0,0,0,1
0,1,2008,408311,2,32,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0
0,1,2008,118120,2,34,1,1,0.0,0.0,0.0,2,0,0,0,0,0,0,1
1,0,2008,452989,2,41,1,1,0.0,0.0,430668.0,0,0,0,0,0,0,0,1
1,2,2008,408236,5,43,1,1,0.0,0.0,452989.0,2,0,0,0,0,0,0,1
1,1,2008,408236,3,25,0,1,0.0,452989.0,114789.0,1,0,0,0,0,0,0,1
1,2,2008,408236,4,25,0,1,0.0,452989.0,114789.0,1,0,0,0,0,0,0,0
0,0,2008,450260,1,48,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0
0,0,2008,408311,1,50,1,1,0.0,450260.0,425867.0,0,0,0,0,0,0,0,0
